tick,rack,level,temperature,humidity,ph,ec,water_level,flow_rate,light_lux,airflow
3,B,2,24.24,71.36,6.28,1.96,85.96,1.76,432.7,1.47
3,B,3,24.83,70.42,6.26,1.99,85.96,1.73,457.1,1.62
3,B,4,25.17,68.72,6.25,1.97,85.96,1.66,490.0,1.68
4,A,1,23.47,74.55,6.28,1.96,85.95,1.81,408.6,1.49
4,A,2,23.85,71.63,6.3,1.98,85.95,1.73,440.9,1.56
4,A,3,24.36,70.27,6.27,1.96,85.95,1.79,464.4,1.73
4,A,4,24.79,69.0,6.3,1.97,85.95,1.8,489.0,1.81
4,B,1,24.11,72.42,6.29,1.95,85.95,1.8,386.5,1.35
4,B,2,24.29,71.89,6.25,1.95,85.95,1.69,417.8,1.47
4,B,3,24.96,70.15,6.26,1.94,85.95,1.8,461.8,1.52
4,B,4,25.14,69.48,6.28,1.97,85.95,1.77,503.2,1.71
5,A,1,23.63,74.38,6.28,1.98,85.93,1.74,399.0,1.49
5,A,2,24.17,71.38,6.31,1.97,85.93,1.79,448.0,1.59
5,A,3,24.61,70.45,6.28,1.98,85.93,1.81,479.9,1.77
5,A,4,24.78,69.0,6.26,1.93,85.93,1.72,492.6,1.8
5,B,1,24.11,72.86,6.31,2.01,85.93,1.83,409.7,1.26
5,B,2,24.36,72.1,6.28,1.95,85.93,1.74,445.0,1.38
5,B,3,24.84,70.24,6.26,1.98,85.93,1.83,485.9,1.57
5,B,4,25.57,69.28,6.27,2.0,85.93,1.78,510.3,1.73
6,A,1,23.57,74.36,6.3,1.99,85.92,1.74,414.9,1.4
6,A,2,24.29,72.32,6.29,1.94,85.92,1.77,445.9,1.57
6,A,3,24.47,70.55,6.29,1.94,85.92,1.84,478.4,1.7
6,A,4,24.93,69.49,6.26,1.99,85.92,1.72,516.2,1.87
6,B,1,24.13,72.97,6.28,1.95,85.92,1.85,402.9,1.31
6,B,2,24.54,71.74,6.27,1.96,85.92,1.74,433.4,1.41
6,B,3,24.92,71.16,6.28,1.96,85.92,1.75,481.9,1.55
6,B,4,25.5,69.11,6.3,1.94,85.92,1.82,504.7,1.7
7,A,1,23.82,74.17,6.29,1.95,85.9,1.74,422.3,1.51
7,A,2,24.26,72.08,6.3,1.97,85.9,1.77,460.8,1.55
7,A,3,24.6,70.79,6.28,1.99,85.9,1.74,489.6,1.77
7,A,4,25.19,69.73,6.3,1.98,85.9,1.76,523.5,1.85
7,B,1,23.94,73.46,6.31,1.96,85.9,1.84,426.1,1.28
7,B,2,24.74,71.85,6.28,1.95,85.9,1.71,444.5,1.39
7,B,3,24.88,70.62,6.27,1.94,85.9,1.76,492.0,1.51
7,B,4,25.54,70.21,6.27,1.95,85.9,1.84,527.9,1.69
8,A,1,23.82,74.54,6.28,2.0,85.88,1.8,424.8,1.51
8,A,2,24.15,72.12,6.32,1.94,85.88,1.74,455.3,1.62
8,A,3,24.85,71.14,6.3,1.93,85.88,1.77,486.6,1.76
8,A,4,24.97,70.34,6.3,1.97,85.88,1.85,532.1,1.83
8,B,1,24.22,73.56,6.29,2.0,85.88,1.84,402.6,1.31
8,B,2,24.71,72.62,6.28,1.96,85.88,1.83,460.8,1.44
8,B,3,25.22,71.18,6.32,1.98,85.88,1.76,482.7,1.57
8,B,4,25.39,69.38,6.33,1.94,85.88,1.73,524.9,1.64
9,A,1,23.88,74.48,6.33,2.0,85.86,1.76,435.9,1.51
9,A,2,24.38,71.99,6.31,1.98,85.86,1.85,464.1,1.57
9,A,3,24.67,71.41,6.3,1.94,85.86,1.82,477.2,1.75
9,A,4,25.03,70.02,6.3,1.95,85.86,1.81,528.5,1.83
9,B,1,24.48,73.78,6.29,2.0,85.86,1.87,416.0,1.31
9,B,2,24.63,72.71,6.32,1.98,85.86,1.74,447.7,1.38
9,B,3,24.97,70.77,6.3,1.99,85.86,1.88,496.9,1.62
9,B,4,25.58,70.48,6.29,1.93,85.86,1.86,540.3,1.73
10,A,1,23.91,74.65,6.29,1.93,85.84,1.81,414.0,1.47
10,A,2,24.56,72.39,6.32,1.96,85.84,1.84,469.5,1.63
10,A,3,24.97,71.47,6.32,1.94,85.84,1.8,495.3,1.77
10,A,4,25.14,70.08,6.29,1.98,85.84,1.89,526.0,1.8
10,B,1,24.33,73.41,6.31,1.94,85.84,1.88,440.1,1.33
10,B,2,24.83,71.99,6.31,1.94,85.84,1.82,455.9,1.45
10,B,3,25.1,71.53,6.31,2.0,85.84,1.74,486.0,1.53
10,B,4,25.72,70.39,6.32,1.94,85.84,1.81,545.5,1.75
11,A,1,23.82,74.88,6.32,1.95,85.81,1.78,441.5,1.5
11,A,2,24.28,72.27,6.34,2.0,85.81,1.81,470.8,1.53
11,A,3,25.02,71.01,6.3,1.96,85.81,1.77,511.6,1.66
11,A,4,25.5,69.78,6.33,1.94,85.81,1.77,529.7,1.79
11,B,1,24.56,74.0,6.32,1.93,85.81,1.79,421.0,1.3
11,B,2,25.01,72.0,6.31,2.0,85.81,1.75,455.3,1.47
11,B,3,25.45,71.16,6.33,1.94,85.81,1.77,505.5,1.54
11,B,4,25.83,70.74,6.31,2.0,85.81,1.89,532.9,1.71
12,A,1,24.25,74.83,6.31,1.98,85.79,1.79,446.8,1.5
12,A,2,24.47,72.12,6.3,1.93,85.79,1.9,462.1,1.62
12,A,3,25.09,72.03,6.32,1.98,85.79,1.86,509.9,1.74
12,A,4,25.55,70.09,6.32,1.98,85.79,1.88,547.6,1.8
12,B,1,24.34,74.02,6.3,2.0,85.79,1.81,429.7,1.28
12,B,2,24.98,72.31,6.3,1.93,85.79,1.85,459.2,1.41
12,B,3,25.11,71.53,6.32,1.95,85.79,1.77,500.5,1.62
12,B,4,25.68,69.98,6.3,2.0,85.79,1.91,546.8,1.69
13,A,1,24.19,75.11,6.31,2.0,85.76,1.87,445.1,1.49
13,A,2,24.67,72.85,6.31,1.94,85.76,1.86,488.6,1.54
13,A,3,24.8,71.99,6.32,1.96,85.76,1.79,498.7,1.67
13,A,4,25.4,70.26,6.31,1.96,85.76,1.77,533.0,1.84
13,B,1,24.29,74.17,6.35,1.98,85.76,1.79,453.2,1.3
13,B,2,24.9,72.34,6.35,1.93,85.76,1.87,489.1,1.43
13,B,3,25.19,72.14,6.36,1.99,85.76,1.86,512.0,1.62
13,B,4,25.99,70.7,6.33,1.96,85.76,1.85,548.5,1.69
14,A,1,24.26,75.36,6.35,1.94,85.72,1.85,443.3,1.51
14,A,2,24.4,72.56,6.32,1.97,85.72,1.86,469.0,1.61
14,A,3,25.01,71.55,6.34,1.96,85.72,1.8,512.0,1.76
14,A,4,25.42,71.28,6.34,1.98,85.72,1.93,561.6,1.87
14,B,1,24.73,73.61,6.36,1.99,85.72,1.88,436.6,1.25
14,B,2,24.97,73.09,6.33,1.98,85.72,1.77,484.8,1.44
14,B,3,25.53,72.25,6.34,1.97,85.72,1.8,503.2,1.58
14,B,4,25.7,71.19,6.31,1.95,85.72,1.77,552.6,1.74
15,A,1,24.33,75.56,6.32,1.93,85.69,1.79,461.5,1.45
15,A,2,24.71,72.85,6.35,1.98,85.69,1.82,474.3,1.61
15,A,3,24.97,71.97,6.34,1.98,85.69,1.9,528.8,1.77
15,A,4,25.56,70.44,6.35,1.96,85.69,1.84,560.8,1.86
15,B,1,24.54,74.55,6.34,1.98,85.69,1.81,434.8,1.26
15,B,2,25.04,72.67,6.37,1.95,85.69,1.82,468.1,1.41
15,B,3,25.55,72.33,6.32,2.0,85.69,1.86,528.7,1.57
15,B,4,25.86,70.5,6.31,2.0,85.69,1.85,564.8,1.71
16,A,1,24.24,76.03,6.32,1.98,85.65,1.88,442.4,1.47
16,A,2,24.85,73.35,6.33,1.99,85.65,1.88,483.4,1.6
16,A,3,25.36,71.69,6.34,1.95,85.65,1.85,532.6,1.75
16,A,4,25.73,70.93,6.36,1.98,85.65,1.83,545.7,1.89
16,B,1,24.79,74.21,6.34,1.98,85.65,1.81,466.7,1.26
16,B,2,24.98,73.54,6.36,1.98,85.65,1.81,489.6,1.46
16,B,3,25.38,72.21,6.38,1.94,85.65,1.89,521.6,1.61
16,B,4,25.92,70.93,6.37,1.98,85.65,1.89,547.4,1.71
17,A,1,24.34,76.39,6.34,1.94,85.6,1.83,467.1,1.5
17,A,2,24.59,73.78,6.37,1.94,85.6,1.83,498.4,1.54
17,A,3,24.98,72.34,6.37,1.96,85.6,1.81,529.9,1.73
17,A,4,25.77,71.02,6.37,1.97,85.6,1.91,570.3,1.84
17,B,1,24.84,74.8,6.35,1.98,85.6,1.89,453.5,1.28
17,B,2,25.13,73.14,6.38,1.97,85.6,1.88,494.5,1.41
17,B,3,25.46,72.42,6.35,1.95,85.6,1.81,526.5,1.56
17,B,4,26.17,71.01,6.33,2.0,85.6,1.84,564.7,1.71
18,A,1,24.38,75.78,6.38,1.98,85.56,1.87,453.2,1.41
18,A,2,24.68,73.55,6.38,1.95,85.56,1.84,508.8,1.54
18,A,3,25.4,72.25,6.35,1.96,85.56,1.84,533.3,1.67
18,A,4,25.74,71.46,6.36,1.93,85.56,1.87,575.7,1.8
18,B,1,24.92,74.18,6.36,1.95,85.56,1.84,464.1,1.31
18,B,2,25.08,73.55,6.35,1.99,85.56,1.92,506.1,1.4
18,B,3,25.79,72.47,6.38,2.0,85.56,1.92,518.6,1.55
18,B,4,26.06,71.11,6.33,1.99,85.56,1.8,556.1,1.74
19,A,1,24.41,76.41,6.39,1.97,85.51,1.96,451.7,1.41
19,A,2,24.98,74.05,6.38,1.97,85.51,1.81,506.6,1.63
19,A,3,25.08,72.43,6.37,1.96,85.51,1.89,528.8,1.77
19,A,4,25.82,70.9,6.36,1.97,85.51,1.81,567.3,1.82
19,B,1,24.99,74.74,6.38,1.95,85.51,1.89,478.0,1.3
19,B,2,25.31,73.96,6.36,1.99,85.51,1.95,513.3,1.47
19,B,3,25.64,72.34,6.39,1.98,85.51,1.9,536.3,1.61
19,B,4,26.18,70.93,6.37,1.94,85.51,1.83,571.8,1.64
20,A,1,24.57,76.43,6.35,2.0,85.45,1.88,452.8,1.43
20,A,2,24.93,73.91,6.39,1.92,85.45,1.86,502.4,1.61
20,A,3,25.33,72.78,6.39,1.96,85.45,1.9,534.9,1.73
20,A,4,25.98,71.42,6.37,1.98,85.45,1.98,582.2,1.81
20,B,1,24.86,74.76,6.39,1.97,85.45,1.91,452.5,1.33
20,B,2,25.24,74.1,6.38,1.99,85.45,1.92,495.9,1.46
20,B,3,25.68,72.42,6.35,1.98,85.45,1.87,530.4,1.57
20,B,4,26.22,71.53,6.39,1.92,85.45,1.95,567.5,1.67
21,A,1,24.3,76.4,6.41,1.99,85.4,1.94,465.1,1.49
21,A,2,24.75,74.3,6.35,2.0,85.4,1.96,504.1,1.56
21,A,3,25.57,73.03,6.36,1.92,85.4,1.92,530.7,1.71
21,A,4,25.66,71.53,6.35,1.94,85.4,1.86,579.5,1.8
21,B,1,24.79,74.81,6.37,1.98,85.4,1.95,457.0,1.34
21,B,2,25.55,73.92,6.39,1.96,85.4,1.93,510.7,1.39
21,B,3,25.66,73.21,6.36,1.94,85.4,1.94,527.1,1.52
21,B,4,26.04,72.06,6.35,1.96,85.4,1.86,576.0,1.73
22,A,1,24.54,76.89,6.37,1.93,85.34,1.87,488.1,1.43
22,A,2,25.18,74.45,6.36,1.96,85.34,1.88,520.0,1.54
22,A,3,25.22,72.47,6.39,1.95,85.34,1.9,554.7,1.7
22,A,4,25.84,71.38,6.38,1.97,85.34,1.92,569.4,1.82
22,B,1,25.03,74.88,6.39,1.92,85.34,1.96,462.1,1.36
22,B,2,25.45,74.05,6.37,1.98,85.34,1.96,509.3,1.46
22,B,3,25.77,73.23,6.37,1.96,85.34,1.98,554.1,1.59
22,B,4,26.16,71.41,6.4,1.94,85.34,1.92,568.2,1.71
23,A,1,24.69,76.34,6.39,1.99,85.27,1.9,467.1,1.45
23,A,2,24.87,73.71,6.38,1.96,85.27,1.93,501.1,1.57
23,A,3,25.4,73.38,6.4,1.95,85.27,1.91,539.7,1.7
23,A,4,26.05,72.07,6.36,1.93,85.27,1.92,596.8,1.86
23,B,1,24.82,75.51,6.41,1.94,85.27,1.85,470.1,1.31
23,B,2,25.44,74.04,6.36,1.92,85.27,1.97,504.0,1.41
23,B,3,26.04,72.99,6.38,1.98,85.27,1.94,554.6,1.62
23,B,4,26.53,71.93,6.37,1.97,85.27,1.87,594.9,1.72
24,A,1,24.74,77.14,6.37,1.98,85.2,1.86,472.2,1.44
24,A,2,25.06,74.16,6.37,1.97,85.2,1.99,505.5,1.53
24,A,3,25.46,72.58,6.37,1.95,85.2,1.96,545.5,1.77
24,A,4,25.87,71.64,6.42,1.97,85.2,1.87,590.3,1.83
24,B,1,25.14,75.47,6.38,1.94,85.2,1.85,489.2,1.3
24,B,2,25.57,74.23,6.4,1.99,85.2,1.96,509.6,1.45
24,B,3,26.03,72.63,6.4,1.94,85.2,1.98,538.8,1.59
24,B,4,26.36,71.8,6.37,1.93,85.2,1.94,588.3,1.67
25,A,1,24.52,76.67,6.42,1.95,85.13,1.92,489.9,1.48
25,A,2,24.92,74.69,6.42,1.97,85.13,1.94,509.2,1.58
25,A,3,25.47,73.08,6.42,1.93,85.13,1.85,556.0,1.74
25,A,4,25.82,71.9,6.42,1.96,85.13,1.87,587.2,1.79
25,B,1,24.91,74.94,6.39,1.93,85.13,1.93,491.2,1.31
25,B,2,25.42,74.2,6.37,1.93,85.13,1.95,532.5,1.45
25,B,3,26.03,73.67,6.42,1.95,85.13,1.85,542.4,1.55
25,B,4,26.56,72.43,6.41,1.97,85.13,1.94,576.9,1.64
26,A,1,24.5,77.16,6.37,1.94,85.05,1.99,480.9,1.4
26,A,2,25.03,74.62,6.38,1.99,85.05,2.01,533.0,1.57
26,A,3,25.47,73.0,6.42,1.94,85.05,1.88,561.4,1.73
26,A,4,26.22,71.99,6.42,1.92,85.05,1.85,595.3,1.85
26,B,1,24.92,75.19,6.4,1.97,85.05,1.99,494.7,1.27
26,B,2,25.75,74.34,6.41,1.97,85.05,1.89,513.5,1.4
26,B,3,25.94,73.58,6.42,1.96,85.05,1.97,541.8,1.56
26,B,4,26.67,71.88,6.43,1.94,85.05,1.88,592.0,1.73
27,A,1,24.72,77.2,6.39,1.95,84.97,1.89,485.5,1.43
27,A,2,25.12,74.02,6.39,1.94,84.97,1.86,526.3,1.6
27,A,3,25.46,73.92,6.38,1.93,84.97,1.96,552.8,1.76
27,A,4,25.97,72.68,6.43,1.91,84.97,1.9,580.7,1.8
27,B,1,25.23,76.12,6.42,1.93,84.97,1.86,479.4,1.29
27,B,2,25.76,74.93,6.4,1.92,84.97,1.89,533.6,1.38
27,B,3,26.22,72.91,6.4,1.92,84.97,2.0,556.2,1.55
27,B,4,26.61,72.71,6.4,1.97,84.97,1.99,599.6,1.75
28,A,1,24.94,76.89,6.42,1.98,84.88,1.97,497.3,1.44
28,A,2,25.18,74.7,6.43,1.92,84.88,1.97,526.2,1.55
28,A,3,25.58,73.09,6.4,1.92,84.88,1.94,561.8,1.74
28,A,4,26.33,72.88,6.39,1.93,84.88,1.86,608.7,1.79
28,B,1,25.13,76.11,6.39,1.95,84.88,1.95,497.7,1.26
28,B,2,25.7,74.86,6.41,1.93,84.88,1.98,529.0,1.43
28,B,3,26.15,73.44,6.39,1.93,84.88,1.98,547.1,1.52
28,B,4,26.51,72.83,6.43,1.94,84.88,1.95,581.0,1.7
29,A,1,24.87,76.88,6.44,1.97,84.79,1.99,482.5,1.42
29,A,2,25.12,74.79,6.4,1.93,84.79,1.98,523.2,1.54
29,A,3,25.89,73.34,6.4,1.97,84.79,1.87,559.2,1.75
29,A,4,26.06,72.67,6.41,1.92,84.79,2.0,604.6,1.85
29,B,1,25.1,75.82,6.4,1.98,84.79,1.87,490.2,1.26
29,B,2,25.55,74.45,6.42,1.97,84.79,1.94,524.0,1.4
29,B,3,26.12,73.49,6.44,1.96,84.79,1.99,559.6,1.62
29,B,4,26.4,72.23,6.41,1.97,84.79,1.87,589.7,1.66
30,A,1,24.99,77.42,6.45,1.93,84.69,1.89,483.3,1.41
30,A,2,25.31,75.19,6.45,1.94,84.69,1.99,516.7,1.62
30,A,3,25.79,73.75,6.44,1.93,84.69,2.01,549.6,1.76
30,A,4,26.14,73.04,6.45,1.94,84.69,2.02,606.3,1.84
30,B,1,25.26,76.4,6.4,1.96,84.69,1.91,485.1,1.31
30,B,2,25.52,75.27,6.44,1.98,84.69,1.95,539.4,1.47
30,B,3,25.98,74.17,6.44,1.93,84.69,2.01,557.7,1.55
30,B,4,26.46,72.32,6.44,1.97,84.69,1.97,592.0,1.67
31,A,1,24.96,77.13,6.44,1.91,84.59,1.96,483.9,1.47
31,A,2,25.42,75.29,6.45,1.95,84.59,2.01,543.4,1.63
31,A,3,25.63,73.57,6.42,1.94,84.59,2.0,564.7,1.76
31,A,4,26.43,73.24,6.4,1.92,84.59,1.88,615.2,1.86
31,B,1,25.15,76.19,6.43,1.97,84.59,2.0,509.7,1.29
31,B,2,25.8,75.45,6.42,1.93,84.59,1.95,545.4,1.41
31,B,3,26.22,73.4,6.4,1.97,84.59,1.92,573.4,1.51
31,B,4,26.52,72.21,6.4,1.94,84.59,1.97,593.5,1.75
32,A,1,24.91,77.96,6.41,1.96,84.49,2.0,488.5,1.51
32,A,2,25.31,74.87,6.42,1.96,84.49,1.88,531.8,1.59
32,A,3,25.77,73.65,6.41,1.94,84.49,1.86,573.7,1.69
32,A,4,26.14,72.79,6.45,1.92,84.49,1.87,612.5,1.87
32,B,1,25.1,75.71,6.44,1.97,84.49,1.89,505.4,1.28
32,B,2,25.83,74.74,6.41,1.97,84.49,1.91,545.2,1.45
32,B,3,26.35,73.55,6.41,1.98,84.49,1.9,558.3,1.52
32,B,4,26.77,72.95,6.41,1.97,84.49,1.89,598.3,1.71
33,A,1,24.83,77.59,6.42,1.93,84.38,1.88,506.4,1.49
33,A,2,25.4,75.45,6.43,1.93,84.38,1.87,535.5,1.64
33,A,3,25.68,73.61,6.42,1.91,84.38,1.87,581.2,1.68
33,A,4,26.11,72.97,6.46,1.94,84.38,1.99,600.3,1.82
33,B,1,25.44,76.42,6.42,1.9,84.38,1.89,492.6,1.32
33,B,2,25.95,74.59,6.44,1.94,84.38,1.9,532.0,1.46
33,B,3,26.38,74.27,6.46,1.97,84.38,1.99,580.3,1.62
33,B,4,26.49,72.67,6.43,1.96,84.38,1.98,589.5,1.72
34,A,1,24.8,77.61,6.43,1.95,84.27,1.9,492.5,1.45
34,A,2,25.38,75.45,6.42,1.92,84.27,1.9,525.0,1.62
34,A,3,26.04,74.05,6.46,1.92,84.27,1.99,556.6,1.72
34,A,4,26.24,73.14,6.47,1.94,84.27,1.9,605.1,1.82
34,B,1,25.31,75.93,6.44,1.9,84.27,1.9,492.4,1.25
34,B,2,25.96,74.99,6.45,1.95,84.27,1.94,541.3,1.38
34,B,3,26.33,73.87,6.43,1.96,84.27,2.0,581.2,1.53
34,B,4,26.78,73.32,6.45,1.97,84.27,1.89,595.6,1.74
35,A,1,24.96,78.35,6.45,1.91,84.15,1.91,504.9,1.41
35,A,2,25.55,75.46,6.45,1.92,84.15,1.87,526.0,1.6
35,A,3,25.84,74.5,6.47,1.91,84.15,1.92,577.6,1.67
35,A,4,26.53,73.11,6.45,1.96,84.15,1.91,599.3,1.83
35,B,1,25.31,76.55,6.42,1.93,84.15,1.94,490.4,1.26
35,B,2,25.92,75.19,6.47,1.91,84.15,1.95,525.1,1.38
35,B,3,26.5,74.28,6.47,1.94,84.15,1.9,576.5,1.54
35,B,4,26.63,73.2,6.44,1.96,84.15,1.98,608.6,1.7
36,A,1,25.24,78.19,6.44,1.94,84.03,1.91,507.2,1.41
36,A,2,25.29,74.88,6.44,1.91,84.03,2.0,527.5,1.56
36,A,3,25.88,73.76,6.45,1.89,84.03,1.99,562.3,1.68
36,A,4,26.43,73.12,6.46,1.9,84.03,1.95,592.7,1.86
36,B,1,25.21,76.78,6.46,1.95,84.03,1.89,495.1,1.27
36,B,2,25.74,75.06,6.48,1.94,84.03,1.99,545.0,1.47
36,B,3,26.16,73.91,6.48,1.96,84.03,1.94,559.7,1.52
36,B,4,26.76,73.44,6.45,1.91,84.03,1.98,597.1,1.64
37,A,1,24.84,77.63,6.43,1.92,83.91,1.92,491.3,1.46
37,A,2,25.72,75.62,6.43,1.94,83.91,1.98,525.2,1.54
37,A,3,26.06,74.2,6.47,1.92,83.91,1.9,576.8,1.72
37,A,4,26.48,73.63,6.46,1.9,83.91,1.89,598.3,1.8
37,B,1,25.4,76.24,6.46,1.92,83.91,1.87,493.1,1.3
37,B,2,25.74,75.49,6.43,1.92,83.91,1.99,531.5,1.45
37,B,3,26.52,74.05,6.44,1.93,83.91,1.95,583.5,1.52
37,B,4,26.99,72.82,6.47,1.95,83.91,2.01,620.5,1.66
38,A,1,25.15,78.36,6.48,1.91,83.78,1.94,511.8,1.47
38,A,2,25.46,75.52,6.46,1.9,83.78,1.89,540.7,1.6
38,A,3,26.12,74.54,6.43,1.96,83.78,1.89,560.1,1.71
38,A,4,26.58,72.99,6.43,1.91,83.78,1.9,611.5,1.79
38,B,1,25.41,76.66,6.48,1.96,83.78,1.94,515.4,1.25
38,B,2,25.85,75.84,6.47,1.93,83.78,1.91,546.1,1.4
38,B,3,26.4,73.93,6.48,1.95,83.78,1.96,566.1,1.55
38,B,4,26.67,72.69,6.45,1.91,83.78,1.95,617.2,1.68
39,A,1,25.19,77.83,6.46,1.95,83.65,1.88,494.6,1.51
39,A,2,25.62,75.99,6.49,1.95,83.65,2.0,530.5,1.55
39,A,3,25.92,74.18,6.49,1.91,83.65,1.89,581.7,1.7
39,A,4,26.63,73.24,6.47,1.95,83.65,1.95,599.5,1.87
39,B,1,25.3,76.1,6.47,1.89,83.65,1.95,500.3,1.28
39,B,2,26.05,75.14,6.48,1.94,83.65,1.92,528.7,1.42
39,B,3,26.45,74.04,6.49,1.89,83.65,1.92,575.8,1.51
39,B,4,26.98,73.19,6.48,1.95,83.65,1.97,618.3,1.68
40,A,1,25.29,78.06,6.45,1.89,83.51,1.95,491.9,1.51
40,A,2,25.55,75.14,6.46,1.9,83.51,1.92,524.2,1.59
40,A,3,25.93,74.35,6.46,1.9,83.51,2.0,579.9,1.68
40,A,4,26.64,73.75,6.44,1.94,83.51,1.89,622.0,1.86
40,B,1,25.53,77.14,6.47,1.95,83.51,1.86,501.2,1.33
40,B,2,25.91,75.04,6.46,1.89,83.51,1.99,549.5,1.44
40,B,3,26.58,74.31,6.48,1.93,83.51,1.96,586.6,1.57
40,B,4,26.87,73.65,6.48,1.9,83.51,1.93,620.9,1.67
41,A,1,25.32,78.53,6.45,1.91,83.37,1.88,490.3,1.49
41,A,2,25.46,75.12,6.48,1.95,83.37,1.98,543.8,1.54
41,A,3,26.02,74.4,6.44,1.94,83.37,1.99,561.3,1.73
41,A,4,26.46,73.5,6.47,1.91,83.37,1.97,622.1,1.82
41,B,1,25.59,76.93,6.46,1.89,83.37,1.9,503.5,1.26
41,B,2,26.04,75.11,6.48,1.94,83.37,1.96,546.2,1.43
41,B,3,26.34,74.27,6.5,1.95,83.37,1.88,573.9,1.53
41,B,4,27.06,73.88,6.5,1.9,83.37,1.96,621.7,1.72
42,A,1,24.98,78.68,6.5,1.93,83.23,1.93,507.2,1.49
42,A,2,25.72,75.85,6.49,1.92,83.23,1.91,546.1,1.57
42,A,3,26.12,74.96,6.47,1.95,83.23,1.92,563.3,1.75
42,A,4,26.68,73.59,6.46,1.89,83.23,1.9,606.4,1.85
42,B,1,25.48,76.84,6.49,1.88,83.23,1.96,490.0,1.29
42,B,2,26.12,75.25,6.5,1.93,83.23,1.99,540.5,1.43
42,B,3,26.47,75.04,6.45,1.89,83.23,1.88,578.9,1.53
42,B,4,26.66,72.98,6.48,1.9,83.23,1.94,614.2,1.72
43,A,1,24.94,78.14,6.46,1.91,83.09,1.87,495.3,1.46
43,A,2,25.79,75.37,6.5,1.88,83.09,1.9,540.4,1.56
43,A,3,25.9,74.75,6.47,1.9,83.09,1.92,566.0,1.7
43,A,4,26.35,73.78,6.49,1.93,83.09,1.88,613.0,1.81
43,B,1,25.57,76.2,6.49,1.93,83.09,1.94,487.4,1.36
43,B,2,25.85,75.64,6.49,1.94,83.09,1.91,549.0,1.42
43,B,3,26.54,74.43,6.49,1.92,83.09,1.93,570.4,1.52
43,B,4,27.09,73.52,6.47,1.92,83.09,1.89,620.5,1.72
44,A,1,24.96,78.63,6.51,1.91,82.94,1.87,489.3,1.4
44,A,2,25.71,75.8,6.5,1.95,82.94,1.88,529.9,1.58
44,A,3,26.26,75.05,6.48,1.94,82.94,1.95,579.1,1.66
44,A,4,26.59,73.53,6.47,1.9,82.94,1.93,600.1,1.87
44,B,1,25.71,76.64,6.46,1.91,82.94,1.93,514.8,1.27
44,B,2,25.81,75.19,6.46,1.94,82.94,1.93,538.1,1.42
44,B,3,26.41,74.3,6.5,1.9,82.94,1.99,562.4,1.51
44,B,4,26.72,73.67,6.51,1.9,82.94,1.86,599.5,1.64
45,A,1,25.23,78.23,6.46,1.89,82.79,1.87,503.4,1.45
45,A,2,25.81,75.63,6.51,1.87,82.79,1.83,527.3,1.61
45,A,3,26.0,74.37,6.47,1.93,82.79,1.93,554.5,1.75
45,A,4,26.7,73.64,6.48,1.87,82.79,1.89,589.6,1.8
45,B,1,25.64,76.86,6.47,1.93,82.79,1.95,503.0,1.33
45,B,2,26.19,75.36,6.5,1.93,82.79,1.9,538.5,1.48
